Participant,Seconds,angry,afraid,happy,sad,neutral
T051,768.0,,,,,
T051,769.0,,,,,
T051,770.0,,,,,
T051,771.0,,,,,
T051,772.0,,,,,
T051,773.0,,,,,
T051,774.0,,,,,
T051,775.0,,,,,
T051,776.0,,,,,
T051,777.0,,,,,
T051,778.0,,,,,
T051,779.0,,,,,
T051,780.0,,,,,
T051,781.0,,,,,
T051,782.0,,,,,
T051,783.0,,,,,
T051,784.0,,,,,
T051,785.0,,,,,
T051,786.0,,,,,
T051,787.0,,,,,
T051,788.0,,,,,
T051,789.0,,,,,
T051,790.0,,,,,
T051,791.0,,,,,
T051,792.0,,,,,
T051,793.0,,,,,
T051,794.0,,,,,
T051,795.0,,,,,
T051,796.0,,,,,
T051,797.0,,,,,
T051,798.0,,,,,
T051,799.0,,,,,
T051,800.0,,,,,
T051,801.0,,,,,
T051,802.0,,,,,
T051,803.0,,,,,
T051,804.0,,,,,
T051,805.0,,,,,
T051,806.0,,,,,
T051,807.0,,,,,
T051,808.0,,,,,
T051,809.0,,,,,
T051,810.0,,,,,
T051,811.0,,,,,
T051,812.0,,,,,
T051,813.0,,,,,
T051,814.0,,,,,
T051,815.0,,,,,
T051,816.0,,,,,
T051,817.0,,,,,
T051,818.0,,,,,
T051,819.0,,,,,
T051,820.0,,,,,
T051,821.0,,,,,
T051,822.0,,,,,
T051,823.0,,,,,
T051,824.0,,,,,
T051,825.0,,,,,
T051,826.0,,,,,
T051,827.0,,,,,
T051,828.0,,,,,
T051,829.0,,,,,
T051,830.0,,,,,
T051,831.0,,,,,
T051,832.0,,,,,
T051,833.0,,,,,
T051,834.0,,,,,
T051,835.0,,,,,
T051,836.0,,,,,
T051,837.0,,,,,
T051,838.0,,,,,
T051,839.0,,,,,
T051,840.0,,,,,
T051,841.0,,,,,
T051,842.0,,,,,
T051,843.0,,,,,
T051,844.0,,,,,
T051,845.0,,,,,
T051,846.0,,,,,
T051,847.0,,,,,
T051,848.0,,,,,
T051,849.0,,,,,
T051,850.0,,,,,
T051,851.0,,,,,
T051,852.0,,,,,
T051,853.0,,,,,
T051,854.0,,,,,
T051,855.0,,,,,
T051,856.0,,,,,
T051,857.0,,,,,
T051,858.0,,,,,
T051,859.0,,,,,
T051,860.0,,,,,
T051,861.0,,,,,
T051,862.0,,,,,
T051,863.0,,,,,
T051,864.0,,,,,
T051,865.0,,,,,
T051,866.0,,,,,
T051,867.0,,,,,
T051,868.0,,,,,
T051,869.0,,,,,
T051,870.0,,,,,
T051,871.0,,,,,
T051,872.0,,,,,
T051,873.0,,,,,
T051,874.0,,,,,
T051,875.0,,,,,
T051,876.0,,,,,
T051,877.0,,,,,
T051,878.0,,,,,
T051,879.0,,,,,
T051,880.0,,,,,
T051,881.0,,,,,
T051,882.0,,,,,
T051,883.0,,,,,
T051,884.0,,,,,
T051,885.0,,,,,
T051,886.0,,,,,
T051,887.0,,,,,
T051,888.0,,,,,
T051,889.0,,,,,
T051,890.0,,,,,
T051,891.0,,,,,
T051,892.0,,,,,
T051,893.0,,,,,
T051,894.0,,,,,
T051,895.0,,,,,
T051,896.0,,,,,
T051,897.0,,,,,
T051,898.0,,,,,
T051,899.0,,,,,
T051,900.0,,,,,
T051,901.0,,,,,
T051,902.0,,,,,
T051,903.0,,,,,
T051,904.0,,,,,
T051,905.0,,,,,
T051,906.0,,,,,
T051,907.0,,,,,
T051,908.0,,,,,
T051,909.0,,,,,
T051,910.0,,,,,
T051,911.0,,,,,
T051,912.0,,,,,
T051,913.0,,,,,
T051,914.0,,,,,
T051,915.0,,,,,
T051,916.0,,,,,
T051,917.0,,,,,
T051,918.0,,,,,
T051,919.0,,,,,
T051,920.0,,,,,
T051,921.0,,,,,
T051,922.0,,,,,
T051,923.0,,,,,
T051,924.0,,,,,
T051,925.0,,,,,
T051,926.0,,,,,
T051,927.0,,,,,
T051,928.0,,,,,
T051,929.0,,,,,
T051,930.0,,,,,
T051,931.0,,,,,
T051,932.0,,,,,
T051,933.0,,,,,
T051,934.0,,,,,
T051,935.0,,,,,
T051,936.0,,,,,
T051,937.0,,,,,
T051,938.0,,,,,
T051,939.0,,,,,
T051,940.0,,,,,
T051,941.0,,,,,
T051,942.0,,,,,
T051,943.0,,,,,
T051,944.0,,,,,
T051,945.0,,,,,
T051,946.0,,,,,
T051,947.0,,,,,
T051,948.0,,,,,
T051,949.0,,,,,
T051,950.0,,,,,
T051,951.0,,,,,
T051,952.0,,,,,
T051,953.0,,,,,
T051,954.0,,,,,
T051,955.0,,,,,
T051,956.0,,,,,
T051,957.0,,,,,
T051,958.0,,,,,
T051,959.0,,,,,
T051,960.0,,,,,
T051,961.0,,,,,
T051,962.0,,,,,
T051,963.0,,,,,
T051,964.0,,,,,
T051,965.0,,,,,
T051,966.0,,,,,
T051,967.0,,,,,
T051,968.0,,,,,
T051,969.0,,,,,
T051,970.0,,,,,
T051,971.0,,,,,
T051,972.0,,,,,
T051,973.0,,,,,
T051,974.0,,,,,
T051,975.0,,,,,
T051,976.0,,,,,
T051,977.0,,,,,
T051,978.0,,,,,
T051,979.0,,,,,
T051,980.0,,,,,
T051,981.0,,,,,
T051,982.0,,,,,
T051,983.0,,,,,
T051,984.0,,,,,
T051,985.0,,,,,
T051,986.0,,,,,
T051,987.0,,,,,
T051,988.0,,,,,
T051,989.0,,,,,
T051,990.0,,,,,
T051,991.0,,,,,
T051,992.0,,,,,
T051,993.0,,,,,
T051,994.0,,,,,
T051,995.0,,,,,
T051,996.0,,,,,
